"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛署添輸字  009473","L-半胱氨酸鹽酸鹽","L-CYSTEINE MONOHYDROCHLORIDE","2027/03/27","美隆貿易股份有限公司","2012/03/27","06-2619348","結晶性粉末","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;香料;;","DHB0C009473009","CN","L-Cysteine Monohydrochloride;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009474","L-苯丙胺酸","L-PHENYLALANINE","2027/03/27","美隆貿易股份有限公司","2012/03/27","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009474002","CN","L-PHENYLALANINE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009475","L-麩酸","L-GLUTAMIC ACID","2027/03/27","美隆貿易股份有限公司","2012/03/27","06-2619348","結晶性粉末","調味劑;;","DHB0C009475002","CN","L-GLUTAMIC ACID;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009477","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (SMS 757)","2027/03/21","詠意企業有限公司","2012/03/20","02-26192287","粉劑","粘稠劑（糊料）;;","DHB0C009477008","TH","ACETYLATED DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009478","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (GENIGEL 48)","2027/03/21","詠意企業有限公司","2012/03/20","02-26192287","粉劑","粘稠劑（糊料）;;","DHB0C009478001","TH","HYDROXYPROPYL DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009480","檸檬酸鈣","CALCIUM CITRATE","2027/03/27","恒亞貿易股份有限公司","2012/03/27","02-28169388","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009480004","CN","CALCIUM CITRATE;;",,"25.00000公斤"
"衛署添輸字  009481","乾燥維生素A醋酸鹽 325 CWS/A 型","DRY VITAMIN A ACETATE 325 CWS/A","2027/03/27","仁友興業有限公司","2012/03/27","02-27092296","顆粒劑","營養添加劑;;","DHB0C009481007","CH","VITAMIN A ACETATE;;Dried Glucose Syrup;;DL-ALPHA-TOCOPHEROL;;ACACIA;;CORN STARCH;;",,"5.00000公斤;20.00000公斤"
"衛署添輸字  009486","乳酸","Lactic Acid (LACTIC ACID 88%)","2027/04/03","益明有限公司","2012/04/03","07-7761066","液劑","調味劑;;","DHB0C009486009","CN","Lactic Acid (Concentration:88%);;",,"25.00000公斤;250.00000公斤;1100.00000公斤"
"衛署添輸字  009487","乳酸","Lactic Acid (LACTIC ACID 80%)","2027/04/03","益明有限公司","2012/04/03","07-7761066","液劑","調味劑;;","DHB0C009487002","CN","Lactic Acid (Concentration:80%);;",,"25.00000公斤;250.00000公斤;1100.00000公斤"
"衛署添輸字  009491","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE (CEKOL 20000 CELLULOSE GUM)","2027/04/02","振芳股份有限公司","2012/04/02","02-23415137","粉劑","粘稠劑（糊料）;;","DHB0C009491001","FI","SODIUM CARBOXYMETHYL CELLULOSE;;",,"20.00000公斤"
"衛署添輸字  009492","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE (CEKOL 150 CELLULOSE GUM)","2027/04/02","振芳股份有限公司","2012/04/02","02-23415137","粉劑","粘稠劑（糊料）;;","DHB0C009492001","FI","SODIUM CARBOXYMETHYL CELLULOSE;;",,"20.00000公斤"
"衛署添輸字  009496","硫酸鎂","MAGNESIUM SULFATE (MAGNESIUM SULFATE DRIED POWDER FCC CODE 500022015700-[522015005])","2027/04/03","穎陞興業有限公司","2012/04/03","02-26807930","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009496000","DE","Magnesium Sulfate (Magnesium Sulfate, Dried);;",,"25.00000公斤"
"衛署添輸字  009497","葡萄糖酸鋅","Zinc Gluconate (ZINC GLUCONATE, USP/GB, LOW HM POWDER CODE 2958)","2027/04/03","穎陞興業有限公司","2014/06/23","02-26807930","粉劑","營養添加劑;;","DHB0C009497003","US","ZINC GLUCONATE;;",,"25.00000公斤"
"衛署添輸字  009498","葡萄糖酸銅","Copper Gluconate (COPPER GLUCONATE, USP/GB, LOW HM POWDER CODE 2300)","2027/04/03","穎陞興業有限公司","2014/06/24","02-26807930","粉劑","營養添加劑;;","DHB0C009498006","US","COPPER GLUCONATE;;",,"25.00000公斤"
"衛署添輸字  009499","雙效泡打粉","DOUBLE EFFECT BAKING POWDER","2027/04/03","力遠貿易股份有限公司","2012/04/03","02-22690005","粉劑","膨脹劑;;","DHB0C009499009","CN","SODIUM BICARBONATE;;CORN STARCH;;CALCIUM CARBONATE;;DL-TARTARIC ACID;;SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS;;Citric Acid (Citric Acid, Monohydrate);;XYLANASE;;",,"5.00000公斤;10.00000公斤;25.00000公斤;1.00000磅;9.08000公斤;3.00000磅;18.00000磅"
"衛署添輸字  009501","發泡蘇打","EFFER-SODA 12","2027/04/10","富鉑實業股份有限公司","2012/04/10","02-87516060","結晶性粉末","膨脹劑;;","DHB0C009501006","US","SODIUM BICARBONATE;;Sodium Carbonate (Sodium Carbonate, Anhydrous);;",,"100.00000公斤;25.00000公斤"
"衛署添輸字  009504","L-酪胺酸","L-TYROSINE","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009504002","CN","L-TYROSINE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009505","L-色胺酸","L-TRYPTOPHAN","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009505005","CN","L-TRYPTOPHAN;;",,"25.00000公斤;5.00000公斤;1.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤"
"衛署添輸字  009506","L-醋酸離胺酸","L-LYSINE ACETATE","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009506008","CN","L-LYSINE ACETATE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009507","L-異白胺酸","L-ISOLEUCINE","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009507001","CN","L-ISOLEUCINE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009508","L-α胺基異戊酸","L-VALINE","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009508001","CN","L-VALINE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009509","L-白胺酸","L-LEUCINE","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009509004","CN","L-LEUCINE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009510","L-羥丁胺酸","L-THREONINE","2027/04/17","美隆貿易股份有限公司","2012/04/17","06-2619348","結晶性粉末","營養添加劑;;","DHB0C009510007","CN","L-THREONINE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009512","檸檬酸鉀","POTASSIUM CITRATE","2027/04/23","育盟股份有限公司","2012/04/23","02-23415137","結晶","調味劑;;","DHB0C009512000","CN","POTASSIUM CITRATE;;",,"25.00000公斤"
"衛署添輸字  009515","肌醇","INOSITOL","2027/04/17","東信化學藥品有限公司","2012/04/17","02-5715135","粉劑","營養添加劑;;","DHB0C009515009","JP","INOSITOL;;",,"10.00000公斤;25.00000公斤;50.00000公斤"
"衛署添輸字  009517","羥丙基纖維素","HYDROXYPROPYL CELLULOSE(HPC-L)","2027/04/17","裕元興業股份有限公司","2012/04/17","02-25062356","粉劑","粘稠劑（糊料）;;品質改良用、釀造用及食品製造用劑;;","DHB0C009517002","JP","HYDROXYPROPYL CELLULOSE;;",,"10.00000公斤"
"衛署添輸字  009520","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (PASELLI MC 150)","2027/04/17","新和食品股份有限公司","2012/04/17","02-25954321","粉劑","粘稠劑（糊料）;;","DHB0C009520001","NL","STARCH SODIUM OCTENYL SUCCINATE;;",,"25.00000公斤;20.00000公斤"
"衛署添輸字  009522","羥丙基磷酸二澱粉","Hydroxypropyl Distarch Phosphate (PERFECTABIND VA 15)","2027/04/17","新和食品股份有限公司","2012/04/17","02-25954321","粉劑","粘稠劑（糊料）;;","DHB0C009522004","SE","HYDROXYPROPYL DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009523","羥丙基纖維素","HYDROXYPROPYL CELLULOSE(HPC-H)","2027/04/19","裕元興業股份有限公司","2012/04/19","02-25062356","粉劑","粘稠劑（糊料）;;品質改良用、釀造用及食品製造用劑;;","DHB0C009523007","JP","HYDROXYPROPYL CELLULOSE;;",,"10.00000公斤"
"衛署添輸字  009526","磷酸二澱粉","DISTARCH PHOSPHATE (EHTEXT 301)","2027/04/27","名川企業有限公司","2012/04/27","02-28945678","粉劑","粘稠劑（糊料）;;","DHB0C009526003","TH","DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009527","醋酸澱粉","STARCH ACETATE (EH-200)","2027/04/27","名川企業有限公司","2012/04/27","02-28945678","粉劑","粘稠劑（糊料）;;","DHB0C009527006","TH","STARCH ACETATE;;",,"25.00000公斤"
"衛署添輸字  009528","羥丙基纖維素","HYDROXYPROPYL CELLULOSE(HPC-M)","2027/04/19","裕元興業股份有限公司","2012/04/19","02-25062356","粉劑","粘稠劑（糊料）;;品質改良用、釀造用及食品製造用劑;;","DHB0C009528009","JP","HYDROXYPROPYL CELLULOSE;;",,"10.00000公斤"
"衛署添輸字  009530","甘草萃","LICORICE EXTRACTS(LICOREX P)","2027/05/03","裕元興業股份有限公司","2012/05/03","02-25062356","粉劑","甜味劑;;","DHB0C009530002","JP","LICORICE EXTRACTS;;",,"12.00000公斤;20.00000公斤"
"衛署添輸字  009531","氧化鎂","MAGNESIUM OXIDE(HEAVY MAGNESIUM OXIDE JP)","2027/05/03","裕元興業股份有限公司","2012/05/03","02-25062356","粉劑","營養添加劑;;","DHB0C009531005","JP","MAGNESIUM OXIDE;;",,"25.00000公斤"
"衛署添輸字  009533","磷酸二氫鈣","Calcium Dihydrogen Phosphate","2027/04/27","新和食品股份有限公司","2012/04/27","02-25954321","結晶性粉末","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009533001","CN","Calcium Dihydrogen Phosphate (Calcium Dihydrogen Phosphate, Monohydrate);;",,"25.00000公斤"
"衛署添輸字  009534","赤藻糖醇","ERYTHRITOL","2027/05/03","匡翊企業有限公司","2012/05/03","0227319688","結晶性粉末","甜味劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009534001","CN","ERYTHRITOL;;",,"25.00000公斤"
"衛署添輸字  009535","磷酸二澱粉","DISTARCH PHOSPHATE (EHTEXT 303M)","2027/05/03","名川企業有限公司","2012/05/03","02-28945678","粉劑","粘稠劑（糊料）;;","DHB0C009535004","TH","DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009536","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (EHTHICK 506)","2027/05/03","名川企業有限公司","2012/05/03","02-28945678","粉劑","粘稠劑（糊料）;;","DHB0C009536007","TH","ACETYLATED DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009537","D-山梨醇液70%","D-SORBITOL SOLUTION 70%","2027/05/01","宇田香料貿易有限公司","2012/05/01","05-2649415","液劑","甜味劑;;","DHB0C009537000","CN","D-SORBITOL SOLUTION 70%;;",,"250.00000公斤;260.00000公斤;270.00000公斤;275.00000公斤;250.00000公斤;260.00000公斤;270.00000公斤;275.00000公斤"
"衛署添輸字  009539","碳酸鈣","CALCIUM CARBONATE (WHITON-F70)","2027/04/27","台石股份有限公司","2012/04/27","02-5637186","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009539003","JP","CALCIUM CARBONATE;;",,"20.00000公斤"
"衛署添輸字  009547","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE(MIRA-SPERSE 623)","2027/05/01","名川企業有限公司","2012/05/01","02-28945678","粉劑","粘稠劑（糊料）;;","DHB0C009547001","US","HYDROXYPROPYL DISTARCH PHOSPHATE;;",,"50.00000磅"
"衛署添輸字  009549","乾燥維生素A 醋酸鹽 500 B","DRY VITAMIN A ACETATE 500 B","2027/05/11","仁友興業有限公司","2012/05/11","02-27092296","顆粒劑","營養添加劑;;","DHB0C009549007","US","GELATIN;;CORN STARCH;;VITAMIN A ACETATE;;SUCROSE;;Dibutyl Hydroxy Toluene (BHT);;",,"5.00000公斤;25.00000公斤;20.00000公斤"
"衛署添輸字  009550","抗壞血酸 90% 造粒型","ASCORBIC ACID 90% GRANULATION","2027/05/11","仁友興業有限公司","2012/05/11","02-27092296","顆粒劑","營養添加劑;;","DHB0C009550000","US","ASCORBIC ACID;;CORN STARCH;;LACTOSE;;",,"25.00000公斤"
"衛署添輸字  009554","L-抗壞血酸(維生素C)","L-ASCORBIC ACID (VITAMIN C)","2027/05/18","欣宏生化科技股份有限公司","2012/05/18","04-8365121","結晶性粉末","抗氧化劑;;營養添加劑;;","DHB0C009554009","CN","L-Ascorbic Acid (Vitamin C);;",,"25.00000公斤"
"衛署添輸字  009556","乳酸","Lactic Acid (LACTIC ACID 88%)","2027/05/22","協明化工股份有限公司","2012/05/22","02-22515151","液劑","調味劑;;","DHB0C009556002","CN","Lactic Acid (Concentration:88%);;",,"25.00000公斤;250.00000公斤;1200.00000公斤;1100.00000公斤"
"衛署添輸字  009559","D-山梨醇液70%","D-SORBITOL SOLUTION 70% (SORBIDEX TM71122)","2028/08/28","欣宏生化科技股份有限公司","2012/05/24","04-8365121","液劑","甜味劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009559001","ID","D-SORBITOL SOLUTION 70%;;",,"270.00000公斤;275.00000公斤"
"衛署添輸字  009563","維生素 K1","PHYLLOQUINONE (VITAMIN K1)","2027/05/25","仁友興業有限公司","2012/05/25","02-27092296","液劑","營養添加劑;;","DHB0C009563000","CH","VITAMIN K1;;",,"100.00000公克;1.00000公斤"
"衛署添輸字  009564","核黃素磷酸鈉","RIBOFLAVIN PHOSPHATE, SODIUM (RIBOFLAVIN 5’-PHOSPHATE SODIUM)","2027/05/25","仁友興業有限公司","2012/05/25","02-27092296","粉劑","營養添加劑;;著色劑;;","DHB0C009564000","FR","Riboflavin Phosphate, Sodium (Riboflavin Phosphate, Sodium, Dihydrate);;",,"5.00000公斤;20.00000公斤;25.00000公斤;1.00000公斤"
"衛署添輸字  009567","硝酸鈉","Sodium Nitrate (SODIUM NITRATE, FCC, CRYSTALS CODE 3771)","2027/05/25","穎陞興業有限公司","2014/06/23","02-26807930","結晶性粉末","保色劑;;","DHB0C009567009","US","SODIUM NITRATE;;",,"25.00000公斤"
"衛署添輸字  009568","葡萄糖酸鈣","CALCIUM GLUCONATE","2027/06/01","美隆貿易股份有限公司","2012/06/01","06-2619348","結晶性粉末","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009568002","CN","CALCIUM GLUCONATE;;",,"25.00000公斤;5.00000公斤;1.00000公斤"
"衛署添輸字  009569","葡萄糖酸鈉","SODIUM GLUCONATE","2027/06/01","美隆貿易股份有限公司","2012/06/01","06-2619348","粒狀","調味劑;;","DHB0C009569002","CN","SODIUM GLUCONATE;;",,"25.00000公斤;5.00000公斤;1.00000公斤;25.00000公斤"
"衛署添輸字  009573","檸檬酸鈉","SODIUM CITRATE (TRISODIUM CITRATE DIHYDRATE)","2027/06/07","欣宏生化科技股份有限公司","2012/06/07","04-8365121","結晶性粉末","調味劑;;","DHB0C009573001","CA","SODIUM CITRATE (SODIUM CITRATE, DIHYDRATE);;",,"25.00000公斤;25.00000公斤"
"衛署添輸字  009577","5’-次黃嘌呤核苷磷酸二鈉","SODIUM 5’-INOSINATE","2027/06/07","振芳股份有限公司","2012/06/07","02-23415137","結晶性粉末","調味劑;;","DHB0C009577000","KR","SODIUM 5'-INOSINATE;;",,"10.00000公斤"
"衛署添輸字  009581","L-抗壞血酸棕櫚酸酯","L-ASCORBYL PALMITATE (ASCORBYL PALMITATE)","2027/06/15","仁友興業有限公司","2012/06/15","02-27092296","粉劑","抗氧化劑;;營養添加劑;;","DHB0C009581002","DE","L-ASCORBYL PALMITATE;;",,"5.00000公斤;25.00000公斤"
"衛署添輸字  009582","硝酸鉀","Potassium Nitrate (POTASSIUM NITRATE, FCC, CRYSTALS CODE 3661)","2027/06/15","穎陞興業有限公司","2014/06/23","02-26807930","結晶性粉末","保色劑;;","DHB0C009582002","US","POTASSIUM NITRATE;;",,"25.00000公斤"
"衛署添輸字  009583","檸檬酸鎂","Magnesium Citrate (MAGNESIUM CITRATE TRIBASIC ANHYDROUS, USP, GRANULAR CODE 2549)","2027/06/15","穎陞興業有限公司","2014/06/03","02-26807930","顆粒劑","營養添加劑;;","DHB0C009583005","US","MAGNESIUM CITRATE;;",,"25.00000公斤"
"衛署添輸字  009586","清酒酵素","GLUC 100G","2027/06/15","尹太有限公司","2012/06/15","02-5221005","粉劑","酵素製劑;;","DHB0C009586001","JP","DEXTRIN;;GLUCOAMYLASE;;ALPHA-AMYLASE;;PROTEASE;;GUAR GUM;;",,"1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤"
"衛署添輸字  009593","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (GELPRO AC20)","2027/06/15","福業貿易有限公司","2012/06/15","02-27751828","粉劑","粘稠劑（糊料）;;","DHB0C009593009","TH","ACETYLATED DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009594","磷酸二澱粉","DISTARCH PHOSPHATE (GELPRO M)","2027/06/15","福業貿易有限公司","2012/06/15","02-27751828","粉劑","粘稠劑（糊料）;;","DHB0C009594002","TH","DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  00959401","磷酸二澱粉","DISTARCH PHOSPHATE(GELPRO M)","2027/06/15","嘉輝食品股份有限公司","2013/03/20","02-85315988","粉劑","粘稠劑（糊料）;;","DHB0C009594010","TH","DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛署添輸字  009597","鹿角菜膠","CARRAGEENAN(AQUAGEL GU8616)","2027/06/18","大中新記貿易股份有限公司","2012/06/18","02-87972277","粉劑","粘稠劑（糊料）;;","DHB0C009597008","PH","CARRAGEENAN;;",,"25.00000公斤"
"衛署添輸字  009598","鹿角菜膠","CARRAGEENAN (AQUAVIS GU8719)","2027/06/18","大中新記貿易股份有限公司","2012/06/18","02-87972277","粉劑","粘稠劑（糊料）;;","DHB0C009598001","PH","CARRAGEENAN;;",,"25.00000公斤"
"衛署添輸字  009599","碳酸鈣","CALCIUM CARBONATE","2027/06/18","宣泓貿易有限公司","2012/06/18","02-22445885","結晶性粉末","品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0C009599001","IN","CALCIUM CARBONATE;;",,"25.00000公斤"
"衛署添輸字  009600","結蘭膠","GELLAN GUM","2027/06/18","連傑貿易有限公司","2012/06/18","02-23023112","粉劑","粘稠劑（糊料）;;","DHB0C009600008","CN","GELLAN GUM;;",,"25.00000公斤"
"衛署添輸字  009601","乙烯二胺四醋酸二鈉","DISODIUM ETHYLENEDIAMINETETRAACETATE (EDTA NA2)","2027/06/19","江盛有限公司","2012/06/19","02-85221588","結晶性粉末","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009601001","CN","DISODIUM ETHYLENEDIAMINETETRAACETATE;;",,"25.00000公斤"
"衛署添輸字  009602","呈味核苷酸二鈉","DISODIUM 5’-RIBONUCLEOTIDE (I+G)","2027/06/20","育盟股份有限公司","2012/06/20","02-23415137","結晶性粉末","調味劑;;","DHB0C009602001","CN","SODIUM 5`-INOSINATE;;SODIUM 5`-GUANYLATE;;",,"1.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛署添輸字  009603","素調粉","SALTED MONOSODIUM L-GLUTAMATE","2027/06/22","乙德食品有限公司","2012/06/22","02-28585857","結晶性粉末","調味劑;;","DHB0C009603004","CN","MONOSODIUM L-GLUTAMATE;;SODIUM CHLORIDE;;",,"25000.00000公克;454.00000公克;4540.00000公克"
"衛署添輸字  009606","焦磷酸鈉","SODIUM PYROPHOSPHATE","2027/06/19","育盟股份有限公司","2012/06/19","02-23415137","結晶性粉末","結著劑;;品質改良用、釀造用及食品製造用劑;;","DHB0C009606000","CN","SODIUM PYROPHOSPHATE;;",,"25.00000公斤"
"衛部添製字  002897","蝦保能 NR (品質改良劑)","SPRIMPOLEN NR","2027/11/03","振芳股份有限公司","2017/11/03","02-23415137","顆粒劑","品質改良用、釀造用及食品製造用劑;;",,,"Sodium Citrate (Sodium Citrate, Dihydrate);;SODIUM BICARBONATE;;Potassium Carbonate (Potassium Carbonate, Anhydrous);;GLYCINE;;TREHALOSE;;GREEN TEA EXTRACT;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002898","焦糖色素","CARAMEL COLORS (SULFITE AMMONIA CARAMEL)","2027/10/31","宏野國際有限公司","2017/10/31","02-82218118","粉劑","著色劑;;",,,"CARAMEL COLORS;;",,"10.00000公斤;5.00000公斤;1.00000公斤;1.00000公斤;1.00000公斤;500.00000公克;500.00000公克;500.00000公克"
"衛部添製字  002899","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE","2027/12/15","振誠貿易股份有限公司","2017/12/15","02-23690989","粉劑","粘稠劑（糊料）;;",,,"SODIUM CARBOXYMETHYL CELLULOSE;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  002902","胡蘿蔔色素 5% EM K","β-CAROTENE 5% EM K","2027/12/29","振芳股份有限公司","2017/12/29","02-23415137","液劑","著色劑;;",,,"INVERT SUGAR SYRUP;;MEDIUM CHAIN TRIGLYCERIDES;;β-CAROTENE;;SUCROSE FATTY ACID ESTER;;DL-ALPHA-TOCOPHEROL;;LECITHINS;;L-Ascorbyl Palmitate;;Pectins;;",,"1.00000公斤;5.00000公斤;12.00000公斤;20.00000公斤"
"衛部添製字  002903","食用紅色四十號","ALLURA RED AC (NT RED)","2028/01/18","寶祥貿易股份有限公司","2018/01/18","03-3562569","粉劑","著色劑;;",,,"ALLURA RED AC;;",,"37.50000公克;50.00000公克;100.00000公克;0.50000公斤;1.00000公斤"
"衛部添製字  002905","β-胡蘿蔔素 2% FT-NR","ALTRATENE 2% FT-NR","2028/01/08","立弘生化科技股份有限公司","2018/01/08","02-27030209","乳液狀","營養添加劑;;著色劑;;",,,"WATER;;FRUCTOSE;;SUNFLOWER OIL;;STARCH SODIUM OCTENYL SUCCINATE;;β-CAROTENE;;DL-α-TOCOPHEROL;;L-ASCORBIC  ACID;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;180.00000公斤;500.00000公斤"
"衛部添製字  002906","β-胡蘿蔔素 5% FT/PF","ALTRATENE 5% FT/PF","2028/01/08","立弘生化科技股份有限公司","2018/01/08","02-27030209","乳液狀","營養添加劑;;著色劑;;",,,"WATER;;FRUCTOSE;;SUNFLOWER OIL;;STARCH SODIUM OCTENYL SUCCINATE;;β-CAROTENE;;Tocopherols Concentrate, Mixed (low-α type) (Total Tocopherols content 100%) ...2%;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;180.00000公斤;500.00000公斤"
"衛部添製字  002907","β-胡蘿蔔素 5% WSC","ALTRATENE 5% WSC","2028/01/22","立弘生化科技股份有限公司","2018/01/22","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"STARCH SODIUM OCTENYL SUCCINATE;;SUNFLOWER OIL;;MALTODEXTRIN;;WATER;;L-ASCORBIC ACID;;DL-α-TOCOPHEROL;;β-CAROTENE;;",,"1.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002908","β-胡蘿蔔素 10% WSC","ALTRATENE 10% WSC","2028/01/22","立弘生化科技股份有限公司","2018/01/22","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"MALTODEXTRIN;;SUNFLOWER OIL;;STARCH SODIUM OCTENYL SUCCINATE;;β-CAROTENE;;WATER;;DL-α-TOCOPHEROL;;Silicon Dioxide (precipitated silica);;L-ASCORBYL PALMITATE;;",,"1.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002998","檸檬酸鈉","SODIUM CITRATE","2029/03/11","三福生技股份有限公司","2019/03/11","02-25426789","結晶性粉末","調味劑;;",,,"SODIUM CITRATE (SODIUM CITRATE, DIHYDRATE);;",,"20.00000公斤;25.00000公斤"
"衛部添製字  002909","葉黃素 10% WSC/PF","LUTENE 10% WSC/PF","2028/01/22","立弘生化科技股份有限公司","2018/01/22","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"MALTODEXTRIN;;STARCH SODIUM OCTENYL SUCCINATE;;LUTEIN;;SUCROSE;;SUNFLOWER OIL;;L-ASCORBIC ACID;;SODIUM ASCORBATE;;Silicon Dioxide (precipitated silica);;",,"1.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;25.00000公斤;25.00000公斤"
